region,quarter,order_date,sales,units
North,Q1,2024-01-15,12500,310
north,Q1,2024-02-03,9800,240
 North ,Q1,15/03/2024,15200,375
West,Q1,2024-01-22,11100,N/A
South,Q1,"March 2, 2024",9400,225
East,Q2,2024-04-11,13900,340
east,Q2,2024-05-19,,255
NORTH,Q2,2024-06-02,16800,410
West,Q2,,10200,245
South,Q2,2024-04-30,10400,N/A
East,Q3,2024-07-14,9100,220
North,Q3,2024-08-08,9700,235
south,Q3,18/09/2024,11200,270
West,Q3,2024-07-25,,260
East,Q3,not recorded,10800,unknown
NORTH,Q4,2024-10-05,14300,355
west,Q4,2024-11-17,12900,300
South,Q4,"December 1, 2024",8700,215
East ,Q4,2024-12-20,11600,285
north,Q4,2024-10-30,13100,320
